"id","parent","folder","name","mark_del","id_1c","base","code"
3566,bd96b710-2748-11e8-bf4f-14dae924ceec,true,"Дополнительные услуги, распределяемые на реализуемый товар",false,ae6ad5c4-d712-11ee-ae71-fc15b494e95f,UPP_BUH,""
3574,ac479f01-ec29-11ee-ae73-fc15b494e95f,false,Расходные инструменты и вспомогательные материалы,false,ac479f04-ec29-11ee-ae73-fc15b494e95f,UPP_BUH,""
3581,c3904847-2748-11e8-bf4f-14dae924ceec,false,Расходные ТЕХ инструменты и вспомогательные материалы на производство (ОС < 40 тыс. рубл),false,"3b97ec57-1448-11ef-ae73-fc15b494e95f",UPP_BUH,""
3589,"64cb8c3e-9c62-11e2-b907-14dae924ceec",false,Прочие услуги сторонних организаций по продукции,false,"64cb8c46-9c62-11e2-b907-14dae924ceec",UPP_BUH,""
3596,"64cb8c3c-9c62-11e2-b907-14dae924ceec",true,Зарплата участка ВЛиСУ,false,"64cb8c7e-9c62-11e2-b907-14dae924ceec",UPP_BUH,""
3603,c98b4aa9-2748-11e8-bf4f-14dae924ceec,false,Контроль качества испытания,false,"0c5ea7c4-1535-11eb-bab4-14dae924ceec",UPP_BUH,""
3610,bd96b710-2748-11e8-bf4f-14dae924ceec,true,"Закупка сырья, материалов, комплектующих",false,bd96b715-2748-11e8-bf4f-14dae924ceec,UPP_BUH,""
3617,"64cb8c3c-9c62-11e2-b907-14dae924ceec",true,Затраты на цеховой транспорт,false,c39048b8-2748-11e8-bf4f-14dae924ceec,UPP_BUH,""
3625,ae6ad5c4-d712-11ee-ae71-fc15b494e95f,false,Затраты на упаковку и тару производственных подразделений,false,cf84708a-2748-11e8-bf4f-14dae924ceec,UPP_BUH,""
3632,c3904847-2748-11e8-bf4f-14dae924ceec,false,Амортизация общепроизводственных ОС сч25,false,ff6f10f6-2748-11e8-bf4f-14dae924ceec,UPP_BUH,""
3639,ff6f119b-2748-11e8-bf4f-14dae924ceec,false,"Затраты на ПО, консалтинг, нотариус, аудит, юристы, оценка имущества и  проч.",false,"23436ab2-2749-11e8-bf4f-14dae924ceec",UPP_BUH,""
3646,"87474c3b-5b51-11e8-9972-14dae924ceec",true,Оплата прочих коммерческих затрат,true,"6502a04b-2749-11e8-bf4f-14dae924ceec",UPP_BUH,""
